Samples	SBS1	SBS2	SBS5	SBS13	SBS32	SBS35	SBS37	SBS40	SBS46	SBS54
KiCS0111_313467	26	11	182	37	0	0	0	0	0	0
KiCS0112_306734	6	0	12	0	14	0	15	0	0	0
KiCS0114_304772	3	0	35	0	0	0	0	56	0	0
KiCS0115_313555	15	0	172	0	0	0	0	0	0	0
KiCS0116_307117	11	0	50	0	0	0	0	0	0	0
KiCS0118_312902	5	0	50	0	0	0	0	0	0	0
KiCS0119_307642	7	0	58	0	0	0	0	0	0	0
KiCS0120_308112	1	0	36	0	0	0	0	0	0	0
KiCS0120_308114	4	0	62	0	0	0	0	34	0	0
KiCS0120_308939	23	0	295	0	0	0	0	0	0	0
KiCS0121_311881	5	0	46	0	0	0	0	0	0	0
KiCS0123_308934	3	0	49	0	0	0	0	0	0	0
KiCS0125_309277	5	0	61	0	0	0	0	0	0	0
KiCS0126_328068	6	6	66	16	0	0	0	0	0	0
KiCS0128_310151	6	0	4	0	0	0	0	60	0	0
KiCS0136_312904	0	0	51	0	0	0	0	0	0	0
KiCS0140_313704	6	0	41	0	0	0	0	0	0	0
KiCS0141_314896	9	0	64	0	0	0	0	0	0	0
KiCS0143_316365	1	0	49	0	0	0	0	0	0	0
KiCS0145_314010	12	0	106	0	0	0	0	0	0	0
KiCS0148_319486	54	123	481	115	0	0	0	766	0	0
KiCS0149_316368	10	0	72	0	0	0	0	0	0	14
KiCS0150_315216	10	0	62	0	0	0	0	0	0	0
KiCS0152_316245	8	0	118	0	0	0	0	0	0	0
KiCS0154_18_752	9	0	26	0	0	0	0	167	0	0
KiCS0154_316299	6	0	18	0	22	0	34	0	0	0
KiCS0154_326256	6	0	10	0	0	0	0	126	0	0
KiCS0155_18_9678	3	0	85	0	0	0	0	0	0	0
KiCS0155_314807	17	0	65	0	0	0	0	0	0	0
KiCS0155_314825	3	0	71	0	0	0	0	0	0	0
KiCS0158_316457	4	7	1	18	0	0	0	67	0	0
KiCS0161_319069	6	0	118	0	0	0	0	0	0	0
KiCS0162_317276	7	0	14	0	0	0	0	78	0	0
KiCS0164_317770	10	0	54	0	0	0	0	0	0	0
KiCS0165_317832	20	0	292	0	0	0	0	0	0	0
KiCS0168_319321	17	0	178	0	0	0	0	0	0	0
KiCS0169_319629	5	0	44	0	0	0	0	0	0	0
KiCS0170_320432	5	0	77	0	0	0	0	0	0	0
KiCS0171_19_17562_A_02_00	8	8	66	11	0	0	0	0	0	0
KiCS0171_319910	11	0	74	0	0	0	0	0	0	0
KiCS0172_321979	1	0	258	0	0	0	0	0	0	0
KiCS0179_322516	14	22	18	27	0	0	0	96	0	0
KiCS0184_324069	1	0	34	0	0	0	0	80	0	0
KiCS0188_334057	5	0	109	0	0	0	0	0	0	0
KiCS0190_327483	6	0	72	0	0	0	0	0	0	0
KiCS0192_330523	3	0	118	0	0	0	0	0	0	0
KiCS0193_328018	18	0	175	0	0	0	0	0	0	0
KiCS0193_328020	12	0	84	0	0	0	0	116	0	0
KiCS0194_328185	4	69	187	68	0	114	0	0	0	0
KiCS0195_328069	89	0	455	0	0	0	0	0	0	0
KiCS0197_20_1402_A_02_00	4	0	385	0	0	0	0	0	0	0
KiCS0197_20_15931_A_02_00	11	0	124	0	0	0	0	0	0	0
KiCS0197_326711	9	0	61	0	0	0	0	0	0	0
KiCS0198_327862	7	0	54	0	0	0	0	124	0	0
KiCS0200_332386	6	0	93	0	0	0	0	0	0	0
KiCS0204_19_13898_A_02_00	8	0	24	0	0	76	0	215	0	0
KiCS0209_18_1512	9	0	34	0	0	0	0	45	0	0
KiCS0212_333928	4	0	152	0	0	0	0	0	0	0
KiCS0214_18_2567	5	0	24	0	0	0	0	84	0	0
KiCS0218_18_1530	2	0	178	0	0	0	0	0	0	0
KiCS0218_18_751	2	0	197	0	0	0	0	0	0	0
KiCS0218_20_11154_A_02_00	5	0	326	0	0	0	0	0	0	0
KiCS0220_18_3730	15	0	141	0	0	0	0	0	0	0
KiCS0220_18_8816_A_02_00	59	0	527	0	0	0	0	0	0	0
KiCS0221_18_2564	24	0	74	0	0	0	0	173	0	0
KiCS0222_18_7573	3	0	166	0	0	0	0	0	0	0
KiCS0225_18_2571	5	0	95	0	0	0	0	0	0	0
KiCS0226_18_2569	3	0	40	0	20	0	0	0	0	0
KiCS0227_18_2559	19	0	131	0	0	0	0	0	0	0
KiCS0228_18_7577	28	0	637	0	0	0	0	0	0	0
KiCS0228_18_7579	87	0	2189	0	0	0	999	0	0	0
KiCS0235_18_4828	8	0	100	0	0	0	0	0	0	0
KiCS0238_18_5640	10	0	125	0	0	0	0	0	0	21
KiCS0239_18_7570	6	0	55	0	0	0	0	0	0	0
KiCS0240_18_8811	5	0	91	0	0	0	0	0	0	0
KiCS0241_19_7197	6	0	100	0	0	0	0	0	0	0
KiCS0245_18_12071	1	0	41	0	0	0	0	0	0	0
KiCS0246_18_11279	0	0	112	0	0	0	0	0	0	0
KiCS0249_19_18443	9	5	109	19	0	0	0	0	39	0
KiCS0249_20_423_A_02_00	42	0	297	0	0	0	0	0	0	0
KiCS0249_20_7122_A_02_00	37	0	334	0	0	0	0	0	0	0
KiCS0252_18_9296	12	0	78	0	0	0	0	0	0	0
KiCS0259_18_12197	2	0	75	0	0	0	0	0	0	0
KiCS0261_19_18923_A_02_00	14	0	289	0	0	0	0	0	0	0
KiCS0263_18_15764_A_03_01	16	0	128	0	0	0	0	143	0	0
KiCS0266_19_13897_A_02_00	7	0	139	0	0	0	0	0	0	0
KiCS0269_18_13380	58	0	1955	0	0	0	576	0	0	0
KiCS0270_19_13895_A_02_00	17	0	128	0	0	0	0	0	0	0
KiCS0271_19_13900_A_02_00	12	0	153	0	0	0	0	0	0	0
KiCS0272_20_18312_A_02_00	13	0	70	0	0	0	0	0	0	0
KiCS0274_19-4026-A-02-00	6	0	70	0	0	0	0	0	0	0
KiCS0276_19_5404_A_02_00	24	0	119	0	0	0	0	311	0	0
KiCS0277_19_13896_A_02_00	16	0	217	0	0	0	0	0	0	0
KiCS0277_19_4280_A_02_01	10	0	300	0	0	0	0	0	0	0
KiCS0282_19_8768_A_02_00	14	0	149	0	0	0	0	0	0	0
KiCS0282_20_18314_A_02_00	29	0	139	0	0	0	0	253	0	32
KiCS0283_19_15299_A_02_00	19	0	118	0	0	0	0	0	0	0
KiCS0285_19_15633_A_02_00	6	0	104	0	0	0	0	0	0	0
KiCS0288_20_11147_A_02_00	6	0	99	0	0	0	0	0	0	0
KiCS0289_19_15639_A_02_00	6	0	90	0	0	0	0	0	0	0
KiCS0292_19_15636_A_02_00	5	0	77	0	0	0	0	0	0	0
KiCS0293_19_15645_A_02_00	3	0	48	14	0	0	0	0	0	0
KiCS0295_19_3667_A_02_00	16	0	139	0	0	0	0	0	0	0
KiCS0295_20_6217_A_02_00	18	0	180	0	0	0	0	0	0	0
KiCS0296_19_6855	9	7	14	14	0	0	0	72	0	0
KiCS0298_19_3826	12	0	0	0	0	0	0	77	0	0
KiCS0298_20_11148_A_02_00	12	0	150	0	0	0	0	0	0	0
KiCS0299_19_3794	146	0	5547	0	0	0	1587	0	0	0
KiCS0302_19_15647_A_02_00	11	0	96	0	0	0	0	0	0	0
KiCS0306_19_19567_A_02_00	12	0	180	38	0	0	0	0	0	0
KiCS0310_9_15653_A_02_00	400	0	2891	0	0	0	0	0	0	0
KiCS0312_19_15651_A_02_00	7	0	70	0	0	0	0	0	0	0
KiCS0314_19_11045_A_02_00	3	0	113	0	0	0	0	0	39	0
KiCS0319_19_11213_A_02_00	9	0	105	0	0	0	0	0	0	0
KiCS0319_19_19753_A_02_00	14	0	111	0	0	0	0	0	0	0
KiCS0320_20_18316_A_02_00	3	0	113	0	0	0	0	0	0	0
KiCS0323_19_26722_A_02_00	45	0	739	0	0	0	344	0	0	0
KiCS0324_19_15655_A_02_00	6	0	51	0	0	0	0	111	0	0
KiCS0326_19_21779_A_02_00	21	0	188	0	0	0	0	0	0	0
KiCS0327_20_75_A_02_00	4	0	202	0	0	0	0	0	0	0
KiCS0329_19_12113_A_02_00	15	0	104	0	0	0	0	0	0	0
KiCS0332_19_12115_A_02_00	4	0	135	0	0	0	0	0	0	0
KiCS0333_19_16938_A_02_00	2	0	27	0	0	0	0	61	0	0
KiCS0333_19_16940_A_02_00	5	0	119	0	0	0	0	0	0	0
KiCS0334_19_16943_A_02_00	4	0	50	0	0	0	0	0	0	0
KiCS0336_20_76_A_02_00	4	0	51	0	0	0	0	0	0	0
KiCS0337_19_12649_A_02_00	6	0	83	0	0	0	0	0	0	0
KiCS0339_20_1400_A_02_00	6	0	17	0	0	0	0	36	0	0
KiCS0341_19_17403_A_02_00	18	26	307	23	0	0	0	0	0	0
KiCS0343_19_13225_A_06_00	42	0	689	0	0	0	0	0	165	0
KiCS0345_20_1395_A_02_00	0	10	171	18	0	0	0	0	0	0
KiCS0347_19_17408_A_02_00	8	0	43	0	0	0	0	0	0	0
KiCS0349_19_17411_A_02_00	6	0	57	0	0	118	0	220	0	0
KiCS0350_19_25243_A_02_00	9	14	21	18	0	0	0	134	0	0
KiCS0350_20_1787_A_02_00	9	13	0	11	0	0	0	141	0	0
KiCS0354_19_19173_A_02_00	33	0	348	0	0	0	0	0	0	0
KiCS0356_19_17417_A_02_00	0	0	162	0	0	0	0	0	0	0
KiCS0358_19_19175_A_02_00	9	0	1573	0	563	0	1057	0	0	0
KiCS0359_19_18908_A_02_00	8	0	169	0	0	0	0	0	0	0
KiCS0361_19_18661_A_02_00	3	0	32	0	0	0	0	0	0	0
KiCS0362_19_19176_A_02_00	42	0	1478	0	0	0	491	0	0	0
KiCS0363_19_21783_A_02_00	2	0	24	0	0	51	0	67	0	0
KiCS0363_19_21794_A_02_00	0	0	85	0	0	0	0	0	0	0
